,open_rel,high_rel,low_rel,close_rel,open,high,low,close,daisy_chained_open_rel,daisy_chained_high_rel,daisy_chained_low_rel,daisy_chained_close_rel,daisy_chained_open,daisy_chained_high,daisy_chained_low,daisy_chained_close
2022-12-28,1.0033882,1.0088391,0.9965795,1.001616,3842.2241362929344,3863.09724009037,3816.1521570384502,3835.438072323799,1.0033882,1.0088391,0.9965795,1.001616,3857.8468900442126,3878.8050512162563,3831.668963900197,3851.033142218245
2022-12-29,1.0035946,1.0092328,0.99642634,1.0017169,3796.819302277565,3818.149560303688,3769.7000728368757,3789.7152295351025,1.0035946,1.0092328,0.99642634,1.0017169,3871.71444889574,3893.465648478926,3844.0603281194135,3864.4702798831167
2022-12-30,1.0035127,1.0091776,0.9964157,1.001625,3862.801520347595,3884.6070196151736,3835.4829282569885,3855.5348560714724,1.0035127,1.0091776,0.9964157,1.001625,3885.3147756323824,3907.24752012173,3857.837012411218,3878.005790659325
2023-01-02,1.0034883,1.0089862,0.99662757,1.0017333,3852.893336415291,3874.002647995949,3826.551551938057,3846.1550171375275,1.0034883,1.0089862,0.99662757,1.0017333,3898.8679278317168,3920.2292752642284,3872.211792106099,3892.0491217354943
2023-01-03,1.0034957,1.0090384,0.99657077,1.0016869,3837.508020219803,3858.704291810989,3811.0261289846894,3830.591059000492,1.0034957,1.0090384,0.99657077,1.0016869,3912.4971739611983,3934.107629957988,3885.4978629424613,3905.4451151130206
2023-01-04,1.0034544,1.0088793,0.99674153,1.0016851,3866.2798798584936,3887.1816916716098,3840.4152254796027,3859.4628035640712,1.0034544,1.0088793,0.99674153,1.0016851,3926.012687274855,3947.237266533764,3899.748498987062,3919.0902451178868
2023-01-05,1.0035412,1.0090803,0.9964416,1.001728,3821.5853623628614,3842.67865537405,3794.5492672681808,3814.6806171417234,1.0035412,1.0090803,0.9964416,1.001728,3939.915605719511,3961.662006607527,3912.0423004539616,3932.7969835502445
2023-01-06,1.003521,1.0092018,0.9963889,1.0016356,3908.7944425964356,3930.9216110515595,3881.0145241355895,3901.450603752136,1.003521,1.0092018,0.9963889,1.0016356,3953.787912940272,3976.1698774595097,3925.688265442895,3946.3595440855233
2023-01-09,1.0032277,1.0084263,0.99678946,1.0016501,3904.6525406312944,3924.88595156312,3879.5942715215683,3898.5123181939125,1.0032277,1.0084263,0.99678946,1.0016501,3966.549596586804,3987.103894083365,3941.0942134073,3960.3120016242815
2023-01-10,1.003402,1.0088397,0.9966012,1.0016503,3932.583267748356,3953.8950978815556,3905.929346948862,3925.7180691957474,1.003402,1.0088397,0.9966012,1.0016503,3980.0437773123062,4001.612646678549,3953.0682196296752,3973.0958115622125
2023-01-11,1.0033147,1.0086925,0.99667954,1.0015776,3982.7681992697717,4004.115846736431,3956.42908643961,3975.8725192093852,1.0033147,1.0086925,0.99667954,1.0015776,3993.2365617733212,4014.6403388394347,3966.828271923451,3986.322689075587
2023-01-12,1.003377,1.0086547,0.99673074,1.0017242,3996.6210087680815,4017.6431956923007,3970.148000919223,3990.037953643799,1.003377,1.0086547,0.99673074,1.0017242,4006.721564925443,4027.796883062942,3980.1815854967845,4000.121795902578
