,open_rel,high_rel,low_rel,close_rel,open,high,low,close,daisy_chained_open_rel,daisy_chained_high_rel,daisy_chained_low_rel,daisy_chained_close_rel,daisy_chained_open,daisy_chained_high,daisy_chained_low,daisy_chained_close
2023-07-12,0.9645895684999721,0.9704579205668037,0.9936547861006513,0.9989884934616229,4382.188285069484,4408.848560610223,4514.233312542425,4538.464665105761,0.9645895684999721,0.9704579205668037,0.9936547861006513,0.9989884934616229,4360.099183950834,4386.625074229244,4491.47861794072,4515.587828605489
2023-07-13,0.9642305546121765,0.969795032833944,0.9934059093476174,0.9988651342198189,4411.8561872391065,4437.316568632367,4545.348606338211,4570.327398925467,0.9642305546121765,0.969795032833944,0.9934059093476174,0.9988651342198189,4362.274782123697,4387.4490341803075,4494.26698420976,4518.965059660735
2023-07-14,0.9640310890931366,0.9692171473824607,0.9933377688350726,0.9987354611809379,4465.006392243772,4489.026139816605,4600.743210136523,4625.743162005632,0.9640310890931366,0.9692171473824607,0.9933377688350726,0.9987354611809379,4364.450380296561,4387.929181270058,4497.130281382785,4521.567211558757
2023-07-17,0.9644587556701256,0.969196363152396,0.9935843684874341,0.9991816304553625,4438.87320003397,4460.677801590745,4572.922376744991,4598.683495089283,0.9644587556701256,0.969196363152396,0.9935843684874341,0.9991816304553625,4366.625978469424,4388.075687735113,4498.493367115332,4523.835196793132
2023-07-18,0.9643169501655021,0.9688156840205101,0.9936938418273351,0.999052986839918,4368.751154199293,4389.132263043359,4501.840517952977,4526.119642109433,0.9643169501655021,0.9688156840205101,0.9936938418273351,0.999052986839918,4368.801576642287,4389.1829207172605,4501.892476462142,4526.171880838897
2023-07-19,0.9641648733803838,0.9686809844117497,0.9935900439883524,0.9989278432641574,4382.958531304951,4403.488139797996,4516.721237364891,4540.986125580802,0.9641648733803838,0.9686809844117497,0.9935900439883524,0.9989278432641574,4370.97717481515,4391.45066309711,4504.3742240579195,4528.572781215979
2023-07-20,0.9638563227402364,0.9685837973861937,0.9934641996746778,0.99856692740733,4417.006538842317,4438.670853253867,4552.6887799971655,4576.072744213927,0.9638563227402364,0.9685837973861937,0.9934641996746778,0.99856692740733,4373.152772988014,4394.601995625702,4507.487907865824,4530.639706953897
2023-07-21,0.963947785229592,0.9687279093675648,0.9935457440298169,0.9984359847462108,4361.979401898131,4383.610037237355,4495.913717224204,4518.042643294773,0.963947785229592,0.9687279093675648,0.9935457440298169,0.9984359847462108,4375.3283711608765,4397.025202751773,4509.672565785724,4531.869213027512
2023-07-24,0.9642703000019172,0.969261873265766,0.9938229120336288,0.9988065771833409,4321.03985485359,4343.407843384887,4453.469542259495,4475.802093345128,0.9642703000019172,0.969261873265766,0.9938229120336288,0.9988065771833409,4377.503969333739,4400.164245996491,4511.664148769672,4534.288524916745
2023-07-25,0.9644772371045945,0.9695170940274545,0.99390873457791,0.9988817594083179,4340.3501071904675,4363.030521713291,4472.798026434856,4495.177682506906,0.9644772371045945,0.9695170940274545,0.99390873457791,0.9988817594083179,4379.679567506603,4402.565497354435,4513.327644585091,4535.91009070256
2023-07-26,0.9650686773597068,0.9700526323588923,0.9941247313772956,0.999423321921189,4331.4984432200245,4353.867828763769,4461.9101493460885,4485.691707312434,0.9650686773597068,0.9700526323588923,0.9941247313772956,0.999423321921189,4381.855165679466,4404.48461109722,4513.782999809947,4537.841035150083
2023-07-27,0.9652446460364107,0.9702137636212839,0.9942139005695346,0.9995949782792208,4259.170957975043,4281.0973383918235,4386.998662680088,4410.74282950641,0.9652446460364107,0.9702137636212839,0.9942139005695346,0.9995949782792208,4384.030763852329,4406.599927484304,4515.605804025401,4540.046043418404
2023-07-28,0.9654159428263345,0.9704204593238134,0.994261650680604,0.999739097560327,4245.368337781664,4267.375448853503,4372.215895785422,4396.30269456666,0.9654159428263345,0.9704204593238134,0.994261650680604,0.999739097560327,4386.206362025192,4408.943548274508,4517.262025905271,4542.147892489533
2023-07-31,0.9651909021623837,0.9702901236332633,0.9940502598348511,0.9995574729520187,4291.8082136462335,4314.482360846432,4420.13394487905,4444.622263653717,0.9651909021623837,0.9702901236332633,0.9940502598348511,0.9995574729520187,4388.381960198056,4411.566318301441,4519.59526143103,4544.634613377055
2023-08-01,0.9652551234295575,0.9704210582929795,0.9940825015102805,0.9995338991553234,4239.97000262544,4262.661836447159,4366.596855309043,4390.5426100906825,0.9652551234295575,0.9704210582929795,0.9940825015102805,0.9995338991553234,4390.557558370919,4414.055319543179,4521.681713682974,4546.477930302979
2023-08-02,0.9650583717271033,0.9704118769513329,0.9940322155370988,0.999430888183447,4238.237200530202,4261.748135888399,4365.481340652121,4389.190637326362,0.9650583717271033,0.9704118769513329,0.9940322155370988,0.999430888183447,4392.733156543782,4417.101133229086,4524.615712154292,4549.189280997074
2023-08-03,0.9651364540701288,0.9705898991442095,0.9941043064742949,0.9996857047980886,4306.64153671627,4330.975953860283,4435.902177392663,4460.807548807079,0.9651364540701288,0.9705898991442095,0.9941043064742949,0.9996857047980886,4394.9087547166455,4419.741920429504,4526.818670251924,4552.234492287613
2023-08-04,0.9653692239585321,0.9707885686599128,0.9943929462352821,1.0000060442144616,4305.015785781876,4329.183082510448,4434.4456240889285,4459.47695387218,0.9653692239585321,0.9707885686599128,0.9943929462352821,1.0000060442144616,4397.084352889508,4421.7684998438135,4529.28222280129,4554.848881322141
2023-08-07,0.9654368460844651,0.9708164977364593,0.9945563109577629,1.0001719701153637,4241.801253167471,4265.437613444771,4369.742281202684,4394.415578217069,0.9654368460844651,0.9708164977364593,0.9945563109577629,1.0001719701153637,4399.259951062371,4423.773709947034,4531.950241611173,4557.539429066619
2023-08-08,0.9655368450728273,0.9709818987933352,0.9947161047723712,1.0003175820604528,4124.5609840452025,4147.821055627393,4249.208362044519,4273.136640694201,0.9655368450728273,0.9709818987933352,0.9947161047723712,1.0003175820604528,4401.435549235234,4426.257028741934,4534.450287717071,4559.984829863038
